6045468 7       5.573296
1291088 6       4.595074
1130557 4       5.880967
1898015 14      3.193029
2466607 4       6.534630
8466343 10      4.255671
2208564 10      3.728070
8331087 4       5.012826
6160164 16      3.754803
6538897 1       6.794861
2360346 13      3.707757
5254018 12      5.309978
1467617 1       6.123980
4393929 11      5.271807
9643256 14      6.551039
2152002 11      4.807353
2535731 0       3.940744
1288003 14      5.964437
6612638 5       6.026301
7774601 6       3.833836
8348057 14      6.063761
2016575 6       6.428695
3516984 13      6.826500
1485876 11      3.370258
2991712 10      6.338401
2353701 6       7.008427
7684547 7       4.520984
6354210 7       6.857253
6477107 13      4.464722
7805380 11      3.333755
6100771 0       4.473809
4746563 11      6.945837
2892542 1       5.455249
1442096 3       5.691370
524959  8       3.586083
4618723 2       7.019790
9754397 5       4.526385
774487  3       5.604091
7475189 16      4.398959
6835752 4       3.349182
8935557 15      5.794756
3798478 15      4.601445
7965849 4       6.528615
6700566 15      6.515121
8843719 13      5.277126
1131791 7       4.112289
8573491 12      6.479679
326312  12      7.061742
4934257 1       4.175526
7676408 2       3.433000
7187157 1       4.892298
8593781 6       4.118105
9221577 15      3.721585
1055542 4       6.859552
1964404 16      4.558805
6683290 11      4.279583
8351004 2       5.206434
5198771 6       4.559528
5617026 13      5.328832
1179689 12      3.815027
4458838 1       5.305891
6230041 8       6.160190
4357316 16      5.369063
1026564 8       5.063941
8948077 7       5.611507
891147  13      3.529088
7305058 16      3.741843
4876381 13      6.807049
435875  6       4.673298
3419309 13      6.680674
4868380 9       5.657911
3191636 12      4.730375
8988463 5       4.359132
7641021 1       3.318527
5918112 7       4.655580
3651948 15      4.195190
5976223 7       3.707689
9053227 7       7.135842
8537844 14      3.719302
3029558 14      6.266982
214784  7       4.536897
6632350 10      5.103390
9805015 8       3.379420
2527191 12      3.401489
5040450 7       7.053608
957645  8       5.232950
4299039 4       5.750259
940762  1       3.395830
8992728 3       3.975977
7587546 12      5.954870
1609608 5       6.035569
5358286 10      5.000386
3383170 7       3.809333
2886614 8       3.183768
7069200 11      4.380152
1951694 14      3.299009
1396026 5       3.405562
1204157 4       3.983069
